OPERATOR,ATYPE,INCIDENT_DATE,STATE,AIRPORT,PHASE_OF_FLT,HEIGHT,SPEED,SPECIES,BIRDS_STRUCK,EFFECT,DAMAGE,COST_REPAIRS,PERSON,REMAINS_COLLECTED,REMARKS
DELTA AIR LINES,A-320,11/01/11 00:00:00,NY,JOHN F KENNEDY INTL,Climb,8000,,American robin,1,Precautionary Landing,M,,Airport Operations,1,"ID BY SMITHSONIAN. DAL 149 REPTD A BIRDSTRIKE ON DEPARTURE AT 8000 FEET ON THE BREEZY POINT CLIMB. A/C RETD TO JFK, LANDED /WO INCIDENT. A/C OUT OF SVC UNTIL NEXT MORNING. PAX PUT ON STANDBY A/C. AIRLINE REPORTS MINOR DMG TO NOSE."
DELTA AIR LINES,A-320,11/01/11 00:00:00,CA,SAN FRANCISCO INTL ARPT,Approach,20,140,Western sandpiper,11-100,None,N,,Airport Operations,1,ID BY SMITHSONIAN. FAA 6872. DNA. HIT ABOUT 43 BIRDS WHEN IN THE LDG FLARE AT ABOUT 20 FT. (BIRDS FIRST REPTD AS STARLINGS)
BUSINESS,C-560,11/01/11 00:00:00,NJ,TETERBORO AIRPORT,Approach,2500,200,Unknown bird,1,None,M?,,,0,HIT AND DENTED LE OF WING.
SOUTHWEST AIRLINES,B-737-300,11/02/11 00:00:00,CA,METRO OAKLAND INTL,Landing Roll,0,50,Hawks,1,None,N,,Pilot,0,PILOT REPTD A HAWK STRUCK A/C ON RWY 11/29 AT TWY Y. NO DMG. NO BIRD FOUND DURING RWY SWEEP. SML DUSTING OF FEATHERS ABOVE F/O TOP OF FUSELAGE
US AIRWAYS,A-321,11/03/11 00:00:00,NC,CHARLOTTE/DOUGLAS INTL ARPT,Approach,500,137,Unknown bird - small,1,None,N,,Tower,0,PILOT REPTD NO DMG FOUND ON INSPN. HIT ON FINAL APCH.
PRIVATELY OWNED,HOMEBUILT,11/03/11 00:00:00,TX,HICKS AIRFIELD,Descent,1300,160,Unknown bird - medium,1,None,N,,Pilot,0,5 MILES FROM HOME ARPT WHILE DESCENDING NEAR PATTERN ALTITUDE.
JETBLUE AIRWAYS,EMB-190,11/03/11 00:00:00,,UNKNOWN,,,,American robin,1,None,N,,Other,1,"ID BY SMITHSONIAN, FAA 6880. DNA.  STRIKE WAS ABOUT 2"" AFT OF NOSE RADOME. ALSO SOME STREAKING ON L FUSELAGE FWD OF WING ILLUM. LLIGHT. NO DMG. TIME OUT OF SERVICE 1/2 HR."
CONTINENTAL AIRLINES,B-737-700,11/03/11 00:00:00,PA,PITTSBURGH INTL ARPT,Take-off run,0,140,Peregrine falcon,1,Precautionary Landing,S,100000,Air Transport Operations,1,ID BY SMITHSONIAN. FINS BENT IN #2 ENG. 4 BLADES WERE BENT. PILOT REPT AT LEAST 6 BLADES WOULD BE CHANGED. ENG NEEDS TO BE BORESCOPED. VIBRATION. EMERGENCY DELCARED.OPER REPTD AS COA AND UAL
COMMUTAIR,DHC8 DASH 8,11/03/11 00:00:00,OH,CLEVELAND-HOPKINS INTL ARPT,Approach,1500,130,Unknown bird - small,1,None,N,,Air Transport Operations,0,
AMERICAN AIRLINES,B-757-200,11/03/11 00:00:00,CA,SAN FRANCISCO INTL ARPT,Approach,1000,130,Gulls,1,None,M,56000,Pilot,0,DENT IN RADOME. REPLACED RADOME. CREW REPTD POSSIBLE BIRDSTRIKE ON APCH AT 1000 FT. EVIDENCE FOUND ON RADOME AND WINDSCREEN. PHOTO.
UPS AIRLINES,MD-11,11/04/11 00:00:00,PA,PHILADELPHIA INTL,Approach,3000,160,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,
JETBLUE AIRWAYS,A-320,11/04/11 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,Approach,3000,180,Perching birds (y),1,None,N,,Pilot,1,"ID BY SMITHSONIAN, FAA 6933. MICRO, DNA. STRIKE REPTD BY ATC. BIRD HIT FLAP FAIRING. NO DMG. STRIKE OCCURRED OVER GRITTY INTXN ON ILS APCH TO RWY 4R. REPT TO ATC. LOGBOOK ENTRY MADE. PHOTO."
JETBLUE AIRWAYS,A-320,11/04/11 00:00:00,NY,LA GUARDIA ARPT,Approach,1500,140,American robin,1,None,N,,Pilot,1,"ID BY SMITHSONIAN, FAA 6900. DNA.  MUST HAVE BEEN 2 DIFFERENT SAMPLES SENT. THEY ALSO ID'D REMAINS AS A PERCHING BIRD AND THAT NO VIABLE DNA WAS IN THE SAMPLE. FEATHER MATERIAL CONSISTENT WITH SOME TYPE OF SONGBIRD. CAPT DID NOT SEE ANY BIRDS PRIOR TO STRIKE. NO DMG."
JETBLUE AIRWAYS,EMB-190,11/04/11 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,Approach,5000,210,American robin,1,None,N,,Air Transport Operations,1,"ID BY SMITHSONIAN. FAA 6932. WHOLE FEATHER. PILOT REPT: WE WERE WHILE ON DOWNWIND/DOGLEG TO FINAL WHEN WE HEARD A LOUD POP. STATUS PAGE SHOWED ALL SYSTEMS NORMAL. ASSUMED A BIRDSTRIKE. DID NOT DECLARE EMERG. CALLED EWR OPS AND ASKED MX TO MEET US. LOGBOOK WRITEUP MADE. MX FOUND AN 8"" BIRD SPLAT ON UPPER RT SIDE OF RADOME. INSPN FOUND A/C TO BE AIRWORTHY."
DELTA AIR LINES,MD-88,11/04/11 00:00:00,TN,NASHVILLE INTL,Approach,2500,180,Unknown bird - small,1,Other,N,,Pilot,0,DECLARED EMERGENCY FOR SLAT DISSAGREE INDICATION.
BUSINESS,EC130,11/04/11 00:00:00,,UNKNOWN,En Route,1500,118,Canvasback,1,Precautionary Landing,S,55000,Pilot,1,"ON FLT FROM ILURB TI ILSPJ, ABOUT 4 MILES FROM OUR DESTINATION I HIT A DUCK ON FRONT RT WINDOW. HEARD VERY LOUD BANG AND FELT PART OF WINDOW HIT ME. I IMMEDIATELY REDUCED POWER, CHECKED GAUGES & FLT CONTROLS. DUCK HAS HIT MY PARAMEDIC. EVERYONE WAS OK. I THEN CONTACTED TWR AND NEEDED TO CHANGE MY DESTINATION TO KSPI. BIRD ID'D FROM PHOTO. COST REPTD BETWEEN $50-60,000."
ALLEGIANT AIR,MD-83,11/06/11 00:00:00,UT,SALT LAKE CITY INTL,Approach,50,125,Red-tailed hawk,1,None,M,,Pilot,1,DENTED ENGINE NACELLE. HIT HAWK DURING LDG FLARE. BIRD WAS INGESTED. RWY INSPN FOUND NO REMAINS. THEY WERE INSIDE THE ENGINE COWLING.
CONTINENTAL AIRLINES,B-737-700,11/06/11 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,Approach,800,130,Gulls,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. UNDETERMINED SPECIES OF WHITE-HEADED GULL. DNA ANALYSIS CANNOT DISTINGUISH THE SPECIES OF WHITE-HEADED GULLS. PILOT REPTD STRIKING A GULL AT 800 FT ON A 3-MILES FINAL. NO DMG. BIRD HIT LEADING EDGEOF L WING ABOUT MIDPOINT.
UNKNOWN,UNKNOWN,12/01/10 00:00:00,WA,SEATTLE-TACOMA INTL,,,,Barn owl,1,,,,Carcass Found,1,WING APPEARED TO COME FROM A BARN OWL. FOUND AT 0353.
UNKNOWN,UNKNOWN,05/06/11 00:00:00,WA,SEATTLE-TACOMA INTL,,,,Swallows,1,,,,Carcass Found,1,FOUND CARCASS INTACT AT 1655 JUST S OF TWY J.
UNKNOWN,UNKNOWN,06/28/11 00:00:00,WA,SEATTLE-TACOMA INTL,,,,Red-tailed hawk,1,,,,Carcass Found,1,FOUND CARCASS ON 16C S OF TWY J AT 0814.
UNKNOWN,UNKNOWN,07/27/11 00:00:00,WA,SEATTLE-TACOMA INTL,,,,Sparrows,1,,,,Carcass Found,1,FOUND CARCASS DURING ROUTINE RWY CHECK JUST N OF 34R NUMBERS AT 1725.
UNKNOWN,UNKNOWN,09/11/11 00:00:00,WA,SEATTLE-TACOMA INTL,,,,Killdeer,1,,,,Carcass Found,1,FOUND LEG OF KILLDEER EAST OF C/L ON RWY 34C AT TWY N AT 1745. RECOVERED REMAINS.
US AIRWAYS,A-321,05/17/11 00:00:00,,UNKNOWN,,,,Unknown bird,1,,N,,Airport Operations,0,"PHASE NOT REPTD, ASSUME FOUND AT KSEA AT 1400."
DELTA AIR LINES,B-757-300,11/06/11 00:00:00,MN,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,Approach,300,142,Sparrows,1,None,N,,Pilot,1,ID BY SMITHSONIAN. FAA 6927. WHOLE FEATHER. BLOOD SMEAR ON RADOME.
BUSINESS,PA-25 PAWNEE,11/06/11 00:00:00,VA,EAGLE'S NEST ARPT,Climb,100,65,New World Vultures,1,None,N,,Pilot,0,NO DMG. HIT WING STRUT.
UNITED AIRLINES,B-767-300,11/06/11 00:00:00,DC,WASHINGTON DULLES INTL ARPT,Approach,,,American robin,1,Other,M?,,Tower,1,"ID BY SMITHSONIAN, FAA 6939. WHOLE FEATHER. UAL SOC REPTD THAT FLT 486 STRUCK A BIRD WHILE ON APCH TO RWY 12 AT 0546. REPORT CAME TO ARPT OPS 2 HRS AFTER THE STRIKE. RWY INSPN FOUND NO REMAINS. A/C TAKEN OUT OF SERVICE PENDING A BORESCOPE OF #1 ENG.  (NO REPLY TO QUESTIONS ABOUT DMG EXTENT)"
SOUTHWEST AIRLINES,B-737-300,11/07/11 00:00:00,UT,SALT LAKE CITY INTL,Approach,1800,135,Unknown bird - large,1,None,N,,Pilot,0,SUSPECT CANADA GEESE. NO DMG OR ABNORMAL INDICATIONS. (DISTANCE FROM ARPT REPTD AS 3 AND 6 MILES)
SKYWEST AIRLINES,CRJ700,11/07/11 00:00:00,UT,SALT LAKE CITY INTL,Approach,1200,,Mallard,2-10,None,S,345000,Airport Operations,1,"ID BY SMITHSONIAN. FLEW THRU 2 FLOCKS OF LARGE BIRDS ON 4 MILE FINAL. MULTIPLE STRIKES ON BOTH LEADING EDGES AND UNDERSIDE OF FLAPS. DMG TO LEFT LEADING EDGE, DENT ABOUT 6"" LONG AND 1/4"" DEEP. PILOT THOUGHT THAT THEY WERE GEESE BECAUSE HE SAW THE BLACK AND WHITE HEADS AS THEY FLEW BY. A/C LANDED W/O INCIDENT."
AMERICAN EAGLE AIRLINES,EMB-145,11/07/11 00:00:00,IA,THE EASTERN IOWA ARPT,Approach,2000,190,Mallard,1,None,M,,Pilot,0,DENT ON LEFT NOSE CONE. INGESTED IN #1 ENG. STRIKE WAS 3 MILES OUT. NO REMAINS ON A/C. ID BY PILOT WHO SAID IT WAS A MALE MALLARD. LIGHT DAMAGE TO #1 ENG A/C WAS FERRIED TO ABI FOR REPAIR. SOME SKIN WAS REPLACED AROUND THE NOSE AREA.
PRIVATELY OWNED,C-172,11/08/11 00:00:00,UT,SALT LAKE CITY INTL,Approach,1800,110,Gadwall,2-10,,M,9300,Pilot,1,ID BY SMITHSONIAN. BIRDS FIRST REPTD AS GEESE. PILOT REPTD BIRDSTRIKE ON 2 MILE FINAL. LANDED W/O INCIDENT. DMG TO RT LEADING EDGE OF WING AND FUSELAGE WHERE ROOF SKIN MEETS THE WINDSHLD. ESTIMATE PROVIDED BY MECHANIC AS $7000 AMT LATER REVISED. FAA REPTS DMG AS MINOR.
BUSINESS,C-500,11/08/11 00:00:00,TN,ELIZABETHTON MUNICIPAL ARPT,Landing Roll,0,80,White-tailed deer,2-10,None,M,5000,Pilot,1,HIT 2 OUT OF 4 DEER AFTER THRUST REVERSER DEPLOYMENT. BROKE #2 COMM ANTEANN OFF. VERY MINOR SKIN DAMAGE AT NOSE GEAR.
MESA AIRLINES,CRJ900,11/08/11 00:00:00,TX,AUSTIN-BERGSTROM INTL,Approach,10,100,Mourning dove,2-10,None,N,,Air Transport Operations,1,ID BY SMITHSONIAN. HIT LEFT SIDE OF RADOME. AT LEAST 1 WAS INGESTED. SEVERAL FEATHERS WERE FOUND IN THE LEFT ENG. NO DMG.
UNKNOWN,UNKNOWN,11/09/11 00:00:00,TN,MC GHEE TYSON ARPT,,,,Common snipe,1,,,,Carcass Found,1,FOUND BY ARFLD MX ON RWY 5L NEAR TWY B3. TIME 0730.
SOUTHWEST AIRLINES,B-737-700,11/09/11 00:00:00,CA,BOB HOPE ARPT,Approach,50,125,Rock pigeon,1,None,N,,Pilot,1,ID BY SMITHSONIAN. CAPT REPTD A FLOCK OF 30 PIGEONS. (FLT # REPTD AS 1660 AND 183 ON DIFFERENT REPTS)
SOUTHWEST AIRLINES,B-737-700,11/09/11 00:00:00,MO,LAMBERT-ST LOUIS INTL,Approach,300,135,Cedar waxwing,1,None,N,,Pilot,1,ID BY SMITHSONIAN. NO DMG.
DELTA AIR LINES,A-320,11/01/11 00:00:00,MN,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,Climb,2500,210,Tundra swan,1,Precautionary Landing,S,,Airport Operations,1,"ID BY SMITHSONIAN. FLT CREW REPTD 1 LRG BIRD HIT RT SIDE OF NOSE AT AROUND 2,500 TO 3,000 FT. A/C SUSTAINED SUBSTANTIAL DMG AND HAS BEEN OUT OF SERVICE SINCE THE INCIDENT (THIS WAS REPTD ON 22 NOV). DAMAGED THERRADOME, NOSE, #2 ENG AND FORWARD PRESSURE BULKHEAD. REMAINS WERE FOUND IN THE FORWARD E/E/C OMPARTMENT. EVENT WAS REPT DTO NTSB. PHOTOS."
AMERICAN AIRLINES,MD-83,11/10/11 00:00:00,,UNKNOWN,,,,Unknown bird,1,None,N,,Pilot,0,PILOT WAS NOT AWARE OF THE STRIKE UNTIL LEAVING THE A/C. NOTICED MARK ON LEADING EDGE.
BUSINESS,PILATUS PC12,11/10/11 00:00:00,,UNKNOWN,,,,Unknown bird,1,None,M,2000,Pilot,0,HIT RECOGNITION LIGHT SQUARE ON. BROKE THE LENS. PILOT FLYING AT NIGHT THOUGHT HE MAY HAVE SEEN SOMETHING GO BY OUT OF THE CORNER OF HIS EYE AS THEY WERE SETTING UP ON FINAL BUT WAS NOT SURE.
BUSINESS,C-550,11/11/11 00:00:00,MN,WARROAD INTL MEMORIAL ARPT,Landing Roll,0,110,White-tailed deer,1,,S,,,0,HIT DEER ON LDG. FUEL TANK BLEW OPEN CAUSING SHUT DOWN AND LOSS OF FUEL. TAXIED TO RAMP.
FEDEX EXPRESS,B-727-200,07/02/11 00:00:00,IL,GENERAL DOWNING-PEORIA INTL ARPT,Take-off run,0,100,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,07/16/11 00:00:00,CO,EAGLE COUNTY REGIONAL,Approach,1500,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,07/17/11 00:00:00,,CLARK INTL,Approach,170,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,07/19/11 00:00:00,CO,DENVER INTL AIRPORT,Climb,100,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,07/20/11 00:00:00,TN,MEMPHIS INTL,Approach,1000,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-30,07/24/11 00:00:00,TN,MEMPHIS INTL,Approach,200,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,07/25/11 00:00:00,TN,MEMPHIS INTL,Approach,5700,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,07/26/11 00:00:00,IN,INDIANAPOLIS INTL ARPT,Approach,500,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,07/26/11 00:00:00,,CHARLES DE GAULLE,Approach,1000,,Unknown bird - small,1,None,S,138676,Air Transport Operations,0,"DMG TO #1 ENG FAN BLADES. ESTIMATED COST OF PARTS $136,676 AND LABOR WAS $1851."
FEDEX EXPRESS,B-727-200,07/27/11 00:00:00,,MINISTRO PISTARINI,Approach,,,Unknown bird - medium,1,None,M,39712,Air Transport Operations,0,"DMG TO LH WING LEADING EDGE. ESTIMATED COST OF PARTS WAS $35,249 AND ESTIMATED COST OF LABOR WAS $4,463."
FEDEX EXPRESS,DC-10-30,07/27/11 00:00:00,TX,FORT WORTH ALLIANCE,Approach,1000,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,07/27/11 00:00:00,CA,METRO OAKLAND INTL,Approach,1200,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,07/28/11 00:00:00,TN,MEMPHIS INTL,Approach,700,,Unknown bird - medium,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,07/29/11 00:00:00,TN,MEMPHIS INTL,Landing Roll,0,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,07/29/11 00:00:00,TN,MEMPHIS INTL,Climb,300,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-727-200,07/30/11 00:00:00,TN,MEMPHIS INTL,Climb,500,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,08/02/11 00:00:00,OH,CLEVELAND-HOPKINS INTL ARPT,Landing Roll,0,,Unknown bird - medium,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,08/03/11 00:00:00,QC,MONTREAL INTL (MIRABEL),Landing Roll,0,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-727-200,08/02/11 00:00:00,SC,COLUMBIA METRO,Approach,500,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/02/11 00:00:00,,CLARK INTL,Climb,50,,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-727-200,08/03/11 00:00:00,RI,THEODORE FRANCIS GREEN STATE,Take-off run,0,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/03/11 00:00:00,TN,MEMPHIS INTL,Climb,11000,300,Unknown bird,1,None,M,7106,Air Transport Operations,0,DMG TO #2 ENG INLET. ESTIMATED COST OF PARTS WAS $5081 AND ESTIMATED COST OF LABOR WAS $2025.
FEDEX EXPRESS,MD-11,08/03/11 00:00:00,MI,DETROIT METRO WAYNE COUNTY ARPT,Approach,150,,Unknown bird - medium,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-727-100,07/14/11 00:00:00,LA,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,Take-off run,0,80,Barn owl,1,None,N,,Air Transport Operations,1,NO DMG NOTED. PILOT NOTIFIED TWR. REMAINS WERE FOUND. (DATA ENTRY NOTE: CONTACTED ARPT FOR ID)
FEDEX EXPRESS,B-777-200,08/05/11 00:00:00,TN,MEMPHIS INTL,Climb,2700,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-310,08/07/11 00:00:00,OK,TULSA INTL,Landing Roll,0,30,Western meadowlark,1,None,N,,Air Transport Operations,0,"PILOT REPTD STRIKE TO ATC AND ARPT OPS PICKED UP THE BIRD. NO DMG NOTED. BIRD REPTD AS MEADOWLARK, ASSUME WESTERN FROM LOCATION."
FEDEX EXPRESS,A-300,08/08/11 00:00:00,IN,INDIANAPOLIS INTL ARPT,Climb,50,,Unknown bird,1,None,M,32164,Air Transport Operations,0,"DMG TO RADOME WHICH WAS REPLACED. ESTIMATED COST OF PARTS WAS $31,864 & LABOR $300."
FEDEX EXPRESS,DC-10-10,08/09/11 00:00:00,IN,INDIANAPOLIS INTL ARPT,Landing Roll,0,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-310,08/09/11 00:00:00,TN,MEMPHIS INTL,Approach,750,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,08/09/11 00:00:00,TN,MEMPHIS INTL,Descent,9700,250,Unknown bird,1,,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,08/10/11 00:00:00,FL,ORLANDO INTL,Descent,10000,,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/10/11 00:00:00,TN,MEMPHIS INTL,Climb,2700,,Unknown bird - medium,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-310,08/10/11 00:00:00,,RAFAEL HERNANDEZ ARPT,Landing Roll,0,80,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,08/11/11 00:00:00,TX,VALLEY INTL,Climb,100,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-300,08/11/11 00:00:00,IN,INDIANAPOLIS INTL ARPT,Approach,1700,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-757-200,08/11/11 00:00:00,TN,MEMPHIS INTL,Approach,3700,210,Unknown bird - medium,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-757-200,08/11/11 00:00:00,TN,MEMPHIS INTL,Approach,2000,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-727-200,08/12/11 00:00:00,LA,SHREVEPORT REGIONAL,Approach,750,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/12/11 00:00:00,,"GUADALAJARA, MEXICO",Approach,200,,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-757-200,08/13/11 00:00:00,NV,MC CARRAN INTL ARPT,Approach,2800,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,08/15/11 00:00:00,TN,MEMPHIS INTL,Approach,2200,,Unknown bird - large,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/15/11 00:00:00,,PU DONG INTL ARPT,Approach,500,,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,A-310,08/19/11 00:00:00,TN,MEMPHIS INTL,Approach,300,,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-30,08/20/11 00:00:00,TN,MEMPHIS INTL,Approach,2700,220,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,MD-11,08/20/11 00:00:00,,SUVARNABHUMI INTL ARPT,Climb,50,,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,NO DMG NOTED.
ALASKA AIRLINES,B-737-800,11/12/11 00:00:00,CA,SAN FRANCISCO INTL ARPT,Approach,,,Dunlin,2-10,None,N,,Airport Operations,1,"ID BY SMITHSONIAN, FAA 6965. WHOLE FEATHER. HIT MULTIPLE BIRDS ON FINAL. EXACT # NOT REPTD, ASSUME 2-10. CREW UNAVAILABLE FOR REPT.NO REMAINS FOUND ON RWY."
AMERICAN EAGLE AIRLINES,EMB-145,11/12/11 00:00:00,IL,CHICAGO O'HARE INTL ARPT,Take-off run,0,100,Rock pigeon,2-10,None,N,,Pilot,1,NO DMG NOTED. OPS RECOVERED 4 CARCASSES. ID BY USDA/WS.
SOUTHWEST AIRLINES,B-737-700,11/13/11 00:00:00,,UNKNOWN,,,,American robin,1,None,M,50000,Pilot,1,ID BY SMITHSONIAN. DAMAGED RADOME WAS REPLACED AT KMDW. FLT WAS FROM OAK. (DATA ENTRY NOTE: REMAINS WERE SENT WITHOUT THE STRIKE REPORT)
UNITED AIRLINES,B-757-200,11/13/11 00:00:00,CA,SAN FRANCISCO INTL ARPT,Approach,50,,Dunlin,1,None,N,,Pilot,1,"ID BY SMITHSONIAN, FAA 6967. WHOLE FEATHER. UAL WAS LDG 28R AND REPTD STRIKING A BIRD SOMEWHERE BTWN 28R & THE WATER OVER ASPHALT. RWY SWEEP FOUND NOTHING. PILOT WAS INTERVIEWED AND REPT FLYING THRU A FLOCK OF BIRDS (# NOT REPTD, ASSUME 2-10). NO DMG OBSVD. PHOTO."
US AIRWAYS,A-320,11/13/11 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,Climb,425,180,Unknown bird - small,2-10,None,N,,Air Transport Operations,0,"2 BIRDS WERE HIT. NO DMG. (DATA ENTRY NOTE: ALT REPTD AS 400 & 450: SPEED AS 160 & 200, TOOK AVG.)"
AMERICAN AIRLINES,B-757-200,11/14/11 00:00:00,CA,SAN FRANCISCO INTL ARPT,Approach,50,135,Red-tailed hawk,2-10,None,N,,Pilot,1,"ID BY SMITHSONIAN. FAA 6966. WHOLE FEATHER FOR RED-TAILED HAWK AND NO DNA. MULTIPLE SPECIES REPTD BY ARPT. 3 DUNLINS AND 1 RED-TAILED HAWK. PILOT SAW ABOUT 15 SMALL BIRDS PRIOR TO THE STRIKE JUST BEFORE LDG. ARPT OPS FOUND 3 DUNLINS AND A RED-TAILED HAWK BTWN TWYS P AND N. BIRD REMAINS WERE FOUND ON THE NOSE, F/O WINDSHLD AND IN THE #1 ENG. NO VISUAL DMG NOTED. ALL MX TO INSPECT ENG AND POSSIBLY PERFORM BORESCOPE INSPN. NO DAMAGE WAS FOUND AND NOT PARTS WERE REQUIRED."
BUSINESS,C-172,11/14/11 00:00:00,,UNKNOWN,En Route,3000,,Unknown bird,1,Precautionary Landing,M,,,0,PILOT HEARD A BIG BANG. A/C HAD MINOR DMG TO LEADING EDGE. LANDED W/O INCIDENT.
JETBLUE AIRWAYS,A-320,11/14/11 00:00:00,CA,SACRAMENTO INTL,Landing Roll,0,70,Perching birds (y),1,None,N,,Air Transport Operations,1,ID BY SMITHSONIAN. NO VIABLE DNA IN SAMPLE. FEATHER CONSISTENT WITH SOME TYPE OF SONGBIRD. PILOT REPT: SML BIRD HIT CA'S WINDSHLD ON LDG ROLLOUT. NO DMG.
BUSINESS,C-210 CENTUR,11/14/11 00:00:00,FL,TAMPA INTL,Approach,2600,,Turkey vulture,1,Precautionary Landing,S,,,0,PILOT SAW 10-12 VULTURES. 1 SHATTERED THE WINDSHIELD. 99% GONE. NO INJURY DUE TO SUNGLASSES AND HEADSET. A/C WAS JUST COMING THRU CLOUDS AND BIRDS WERE AT THE BOTTOM OF THE CLOUD LAYER. A/C WAS DESCENDING INTO TAP AND DIVERTED TO TPF.
BUSINESS,C-560,11/14/11 00:00:00,,UNKNOWN,,,,American coot,1,None,M,25000,Pilot,1,ID BY SMITHSONIAN. PILOT REPT: NEVER KNEW WE HIT IT. NOT SURE IF OCCURRED DURING TAKE OFF OR LANDING. MAY HAVE BEEN AT KMKE.
JETBLUE AIRWAYS,A-320,10/18/11 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,Approach,2000,170,Fox sparrow,1,None,N,,,1,"ID BY SMITHSONIAN, FAA 6996. DNA. A/C OUT OF SERVICE 1/2 HR."
US AIRWAYS,A-319,11/15/11 00:00:00,,"GUADALAJARA, MEXICO",Approach,7000,210,Unknown bird - small,1,None,N,,Air Transport Operations,0,BIRDSTRIKE JUST BEHIND RADOME.
